ID ONIX;DESCRICAO;PREFIXO;Embalagem;Unid;Volume;Status
97;CRUISER 70 WS - 500 G;CRUISER 70 WS;500;G;0.5;1
98;CRUISER OPTI - 5 L;CRUISER OPTI;5;L;5;1
99;CRUISER OPTI - 20 L;CRUISER OPTI;20;L;20;1
100;CRUISER OPTI - 1000 L;CRUISER OPTI;1000;L;1000;1
101;CULTAR - 1 L;CULTAR;1;L;1;1
102;CUPROGARB - 25 KG;CUPROGARB;25;KG;25;0
103;CURACRON - 1 L;CURACRON;1;L;1;0
104;CURACRON - 5 L;CURACRON;5;L;5;0
105;CURYOM - 1 L;CURYOM;1;L;1;1
106;CURYOM - 5 L;CURYOM;5;L;5;1
107;CURYOM - 20 L;CURYOM;20;L;20;1
108;CYPRESS - 5 L;CYPRESS;5;L;5;1
109;CYPRESS - 20 L;CYPRESS;20;L;20;1
110;DIRECT - 5 KG;DIRECT;5;KG;5;0
111;DISCO AG L-232 - 19,05 L;DISCO AG L-232;19.05;L;19.5;0
112;DISCO AG RED L-232 - 20 L;DISCO AG RED L-232;20;L;20;0
113;DISCO L-232 AG HIGH COLOR RED - 1000 L;DISCO L-232 AG HIGH COLOR RED;1000;L;1000;0
114;DMA - 20 L;DMA;20;L;20;0
115;DRIVER - 5 L;DRIVER;5;L;5;0
116;DUAL GOLD - 5 L;DUAL GOLD;5;L;5;1
117;DUAL GOLD - 20 L;DUAL GOLD;20;L;20;1
118;DURIVO - 1 L;DURIVO;1;L;1;1
119;DURIVO - 5 L;DURIVO;5;L;5;1
120;DURIVO - 20 L;DURIVO;20;L;20;1
121;ELATUS - 1 KG;ELATUS;1;KG;1;1
122;ELATUS - 5 KG;ELATUS;5;KG;5;1
123;ENERGIC - 1 L;ENERGIC;1;L;1;1
124;ENERGIC - 5 L;ENERGIC;5;L;5;1
125;ENGEO - 1 L;ENGEO;1;L;1;0
126;ENGEO PLENO - 250 ML;ENGEO PLENO;250;ML;0.25;1
127;ENGEO PLENO - 1 L;ENGEO PLENO;1;L;1;1
128;ENGEO PLENO - 5 L;ENGEO PLENO;5;L;5;1
129;ENGEO PLENO - 20 L;ENGEO PLENO;20;L;20;1
130;ENVOKE - 100 G;ENVOKE;100;G;0.1;1
131;EXTRAVON - 1 L;EXTRAVON;1;L;1;0
